,quality
1413,6
3062,8
5923,6
2281,6
3621,7
4865,6
6082,5
2774,8
3488,6
5904,7
5807,6
6489,6
3757,5
3433,7
3473,8
2395,5
583,6
5699,5
2593,5
2132,6
5637,5
2294,7
6374,5
5865,5
4634,6
1168,5
1773,6
2832,6
5301,6
900,7
4256,5
6456,5
1838,6
1186,5
3679,7
974,6
4093,6
182,5
5509,5
4272,6
3776,5
1092,6
3751,5
4902,5
1543,6
4383,6
5073,5
619,6
4501,6
6407,5
4380,6
1881,6
4792,6
2288,5
4439,5
3660,8
1225,6
602,5
4467,5
4343,6
5029,5
4184,7
1433,6
1639,5
4846,6
1710,5
5798,5
3236,6
2750,8
4453,6
4770,6
694,6
2691,6
3544,6
522,6
4518,6
2218,6
4374,5
5206,6
68,8
3724,6
912,5
1940,5
3209,5
4665,6
3932,8
4393,6
3784,6
2374,6
5464,6
4153,5
208,5
5589,5
6207,5
1617,6
1511,6
2904,7
6457,5
723,8
2773,7
5566,5
3662,4
6481,5
5584,5
5842,7
805,6
2114,6
4551,6
6026,5
2935,4
556,5
251,3
4663,7
585,6
4009,6
1982,8
3661,6
2200,5
4094,7
1080,7
3428,6
2578,7
3691,6
3182,5
2083,5
1732,5
5035,5
395,5
4872,5
5714,6
2602,6
4721,6
1524,6
5558,6
4866,6
1518,6
6351,5
2118,6
2481,6
744,5
5059,4
5305,7
1979,6
6339,6
4794,5
4978,5
6132,6
3188,8
1541,4
1972,5
5543,7
2862,6
3746,5
4474,6
5876,7
1479,6
6414,5
3328,5
508,6
3393,6
4899,5
1695,6
2189,6
1615,6
2478,6
373,6
5670,5
1985,6
1173,5
84,5
5251,5
1263,6
4541,6
6107,7
2794,5
5801,7
4929,6
4670,6
424,7
2609,6
3354,7
1093,7
869,6
2081,5
1760,6
993,4
1700,6
5467,6
5684,5
4092,6
1847,5
2026,5
4820,5
6195,6
6408,6
4813,5
2098,6
354,6
6163,6
4731,6
1341,5
4172,6
1610,6
5988,8
6397,6
967,6
3738,6
4081,6
521,5
2184,6
3074,5
3967,4
1123,5
4102,5
6262,6
5559,5
3766,5
3602,6
3061,5
2381,6
4151,6
5788,5
3211,6
2238,6
4653,7
4346,6
5929,7
6216,6
6373,7
4826,6
1248,7
302,6
1138,5
5514,5
185,5
635,6
625,8
3939,6
2855,7
3515,7
3519,7
3245,5
3078,5
3169,6
2231,6
3949,5
17,8
5677,5
1056,6
2444,5
4251,6
3315,7
2585,7
3389,7
6268,5
4417,6
663,5
5857,5
2036,6
605,6
5371,5
846,5
3945,6
5973,7
4277,5
362,6
3309,7
5944,6
5068,4
4462,6
2704,6
4070,5
5280,6
3547,6
5051,5
4352,5
4926,5
2446,5
